author,published_at,updated_at,like_count,text,cyberbullying_type,label
@maxt16rise,2025-03-02T22:38:39Z,2025-03-02T22:38:39Z,0,EL MUNDO DE LOS CINICOS.,toxicity,bullying
@erichenry386,2024-03-10T12:07:27Z,2024-03-10T12:07:27Z,1,This video sucked .... none of the inmates actually got attacked,"toxicity, identity_attack",bullying
@muhammadfarooqshaikh5490,2024-10-29T15:38:45Z,2024-10-29T15:38:45Z,0,Sinwar was a tiger.... That&#39;s why all coward illegal israely used to feared with him....... He was like tipu sultan that he will die while fighting but he will not accept this harami Israel.,"toxicity, threat",bullying
@BabbarCalifornia,2025-03-01T17:36:51Z,2025-03-01T17:36:51Z,0,WTF😂,"toxicity, identity_attack",bullying
@BasketballVR2,2024-04-08T20:12:03Z,2024-04-08T20:12:03Z,1,Balls,toxicity,bullying
@asfawdegefu1432,2024-07-06T21:08:32Z,2024-07-06T21:08:32Z,0,I am ashamed of some of the Court  decision. The judges are  racist too.,"toxicity, threat",bullying
@subhamsharma5000,2017-10-08T12:31:11Z,2017-10-08T12:31:11Z,0,"Watched kangana&#39;s interview and hrithik&#39;s interview and even an idiot can tell who is lying. If you are that innocent show proof and don&#39;t abuse others(atleast not on the national tv) because it just shows how pathetic you are. Shame on you kangana.<a href=""http://www.youtube.com/results?search_query=%23truthstandswithhrithik"">#truthstandswithhrithik</a>","toxicity, threat",bullying
@gildahamilton9655,2025-04-24T01:08:10Z,2025-04-24T01:08:10Z,1,Stand with Zelensky!,non-toxic,non-bullying
@pupu416,2025-02-28T22:51:28Z,2025-02-28T22:51:28Z,5,Bullying the president of war-torn country is a new low (again). And those laughs and smiles after saying ”just fight it out”. The absolute EASE that they speak like pigs sends chills down my spine.,"toxicity, threat",bullying
@marinaS8756,2025-03-01T00:47:52Z,2025-03-01T00:47:52Z,0,"American people have degraded so much they have elected a brainless, criminal buffoon who thinks it&#39;s appropriate to humiliate a President of an independent country at war with the most evil Putin for three years.<br>Trump and Vance have shamed America in front of international media!","toxicity, threat",bullying
@ana_gamerandrade4803,2017-08-20T23:48:00Z,2017-08-20T23:48:00Z,0,Wtf,"toxicity, identity_attack",bullying
@AMANSINGH-yf4xj,2020-01-27T06:10:39Z,2020-01-27T06:10:39Z,0,0 fucks given,"toxicity, identity_attack, threat",bullying
@Theale1a1,2025-03-02T20:14:08Z,2025-03-02T20:14:08Z,1,American arrogance. Get out of Europe clowns,"toxicity, threat",bullying
@JimEchang-o1l,2025-02-28T19:06:11Z,2025-02-28T19:06:11Z,0,This is ridiculous.,"toxicity, threat",bullying
@jcnba28,2025-02-28T23:26:10Z,2025-02-28T23:26:10Z,2,Zelensky is a dictator who cannot be trusted.,"toxicity, threat",bullying
@ovwve-3266.okwlme,2025-03-02T05:24:46Z,2025-03-02T05:24:46Z,2,US is a superpower. We can do whatever we want,non-toxic,non-bullying
@Sorrrrrryishotyou,2025-03-01T10:29:28Z,2025-03-01T10:29:28Z,1,American is the joke,"toxicity, threat",bullying
@terraryzing201,2025-03-01T00:50:09Z,2025-03-01T00:50:09Z,1,These comments are full of liberal dumbasses. Trump and Vance are sick of the bullshit that Zelenskyy is trying to pull by wasting billions of dollars and the war is still not resolved.,"toxicity, identity_attack, threat",bullying
@Котяш-и4т,2025-03-04T18:45:07Z,2025-03-04T18:45:07Z,0,"😂 я поняла.  Если трамп послушает Владимира Высоцкого. Хотя ума ему это не пропибавит. НО, ВСЕ МОЖЕТ БЫТЬ",non-toxic,non-bullying
@許閔翔-i5r,2024-01-30T04:10:11Z,2024-01-30T04:10:11Z,0,午安  希望 韓國女明星(秀智) 和 (潤娥) 可以嫁個好男人 一輩子幸福+135,non-toxic,non-bullying
@SakthivelArumugapandian,2025-02-28T21:25:55Z,2025-02-28T21:25:55Z,0,"<a href=""https://www.youtube.com/watch?v=zT2QzZGac-0&amp;t=2246"">37:26</a> .😮❤😅",non-toxic,non-bullying
@sergiosanchez4095,2018-10-30T20:49:05Z,2018-10-30T20:49:05Z,0,You guys are crazy😂😂😂😂,"toxicity, threat",bullying
@sss-ee6or,2020-10-07T18:08:00Z,2020-10-07T18:08:00Z,838,"Everybody be acting like professional psychologists in comment section😂 he is an actor, he has a good control on his expressions. How dumb can people be lmfao","toxicity, threat",bullying
@얼음물-g2f,2025-02-28T23:59:54Z,2025-03-01T00:00:10Z,0,"These republican people are neo-liberal clowns, nothing else. They don&#39;t want what&#39;s best for the people, in fact they only care about their egos &amp; money. No morals...","toxicity, threat",bullying
@MRhorhormahodev,2024-06-14T14:40:04Z,2024-06-14T14:40:04Z,2,please help me sir 😢😢😢😢🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,non-toxic,non-bullying
@xcarnage3936,2024-07-18T07:45:49Z,2024-07-18T07:45:49Z,0,"With a name like lindy, its no wonder he cracked.😂",non-toxic,non-bullying
@Human-i2m,2025-05-31T21:48:37Z,2025-05-31T21:49:09Z,1,"<a href=""https://www.youtube.com/watch?v=0e3GPea1Tyg&amp;t=232"">3:52</a> brawl stars",non-toxic,non-bullying
@anikettapkir758,2017-03-21T09:06:45Z,2017-03-21T09:06:45Z,0,fack,"toxicity, identity_attack",bullying
@KimmyC-75,2025-02-28T22:22:48Z,2025-02-28T22:22:48Z,0,DJT &amp; JDV are fools.,"toxicity, threat",bullying
@tos_OSC,2024-11-06T18:38:58Z,2024-11-06T18:38:58Z,2,666m views,non-toxic,non-bullying
@ShenioTarivonda-q6j,2024-02-15T03:41:20Z,2024-02-15T03:41:20Z,0,U hate how the law protects these monsters,"toxicity, threat",bullying
@ButchersBoys,2025-03-01T08:01:01Z,2025-03-01T08:01:01Z,1,Eupore doesn&#39;t need America anyway. Trump has turned against his allies for a mad man called putin.,"toxicity, threat",bullying
@Quang752,2025-03-01T02:40:34Z,2025-03-01T02:40:34Z,2,"Trump is a coward. He threatened neighbours, attacking allies, intimidate weak countries, and bow to Putin. Shame to America.","toxicity, threat",bullying
@InsaneryTV,2017-03-20T02:54:51Z,2017-03-20T02:54:51Z,1,And this is why u should  lase your shoes.,non-toxic,non-bullying
@guspatcho_nacho,2024-07-08T08:16:52Z,2024-07-08T08:16:52Z,1,Imagine not knowing Eugene 🤓,non-toxic,non-bullying
@thecrazyyoutuber2017,2024-02-13T04:28:18Z,2024-02-13T04:28:18Z,0,It saddens me that they defend these criminals and murderes and believe that they deserve rights even though these sick animals took away their victims&#39; right to live,"toxicity, threat",bullying
@snehamotavar6664,2020-06-17T20:03:08Z,2020-06-17T20:03:08Z,1,"Whats the shit about posing, enacting crap! Lie","toxicity, identity_attack, threat",bullying
@stutibhardwaj4204,2017-10-09T13:10:19Z,2017-10-09T13:10:19Z,0,"Shame on u Arnab, I was a huge fan of u.",non-toxic,non-bullying
@jbwitsme,2025-02-28T21:44:47Z,2025-02-28T21:44:47Z,0,Is there a bigger idiot anywhere in the world than Trump?,"toxicity, threat",bullying
@antoniomonteiro9236,2025-03-03T21:12:58Z,2025-03-03T21:12:58Z,1,"Trump, is, mad, biden, is,colonial","toxicity, threat",bullying
@psy9199,2025-03-01T14:00:27Z,2025-03-01T14:00:27Z,0,He should shut up when asking for help,"toxicity, threat",bullying
@GonzalezLevi-po5rf,2024-05-22T17:40:15Z,2024-05-22T17:40:15Z,0,Mister best ven a Santa Ana por favor,non-toxic,non-bullying
@mmr7484,2018-08-08T03:23:57Z,2018-08-08T03:23:57Z,0,What a pathetic LIAR!,"toxicity, threat",bullying
@andrewpittman9091,2018-01-03T19:09:38Z,2018-01-03T19:09:38Z,0,Your a bitch,"toxicity, identity_attack, threat",bullying
@SpudShoes,2025-01-01T04:47:10Z,2025-01-01T04:47:10Z,1,079 is such a cheater,non-toxic,non-bullying
@emmamagro1028,2017-03-23T09:37:44Z,2017-03-23T09:37:44Z,0,Your so mean,"toxicity, threat",bullying
@sabergamin7157,2025-02-28T19:25:06Z,2025-02-28T19:25:06Z,1,Trump is so disgusting.,"toxicity, threat",bullying
@kostas666lelapas3,2025-02-28T23:58:29Z,2025-02-28T23:58:29Z,0,This is number one bullshit,"toxicity, identity_attack, threat",bullying
@martylou6194,2025-03-02T14:33:55Z,2025-03-02T14:34:57Z,2,"The president and vice president are surely disrespectful here, bullies.","toxicity, threat",bullying
@H-Tchino,2025-02-28T19:50:00Z,2025-02-28T19:52:26Z,0,Arrest this criminal Zelensky he’s the cause of 1 million deaths in Ukraine,toxicity,bullying
@jurgitaviselga9401,2025-02-03T18:10:08Z,2025-02-03T18:10:08Z,4,mrbeast should make a season 2,non-toxic,non-bullying
@GiselaGutierrez-wu9rx,2025-03-05T01:09:56Z,2025-03-05T01:09:56Z,0,How childish and embarrassing. Trump is an idiot!,"toxicity, threat",bullying
@iqaunieo3257,2018-07-21T15:02:53Z,2018-07-21T15:02:53Z,0,Not nice,non-toxic,non-bullying
@Stella___Star,2024-03-25T15:51:26Z,2024-03-25T15:51:26Z,1,❤,non-toxic,non-bullying
@sinastickl8884,2025-03-01T16:14:27Z,2025-03-01T16:14:27Z,1,"Good job Mr. Trump and Mr. Vance❤!<br> It was about time someone shows this ukrainian clown where his place is! <br>Claiming they are all alone?! Whom did EU and USA send their money then?! If it was not for the so called western countrys, this war would be over years ago! <br>He is lying and getting richer and richer through this war! <br>He is trying to push us all into WW3!  <br>In my opinion, peoples hate towards a strong Russia is so big they do not see how fooled they are by this clown!","toxicity, threat",bullying
@alessandroruggeri7910,2024-03-19T07:56:38Z,2024-03-19T07:56:38Z,0,Es ist schon Verrückt di einen Morden und Verden Geschützt und die di sich mit den Fausten losgehen Verden vie schwer Verbrecher behandelt so siht die Heutige Realität aus die Verbrechen verden Gut Behütet von der Justiz,non-toxic,non-bullying
@MotoDiariesByYashraj,2025-03-03T06:42:08Z,2025-03-03T06:42:08Z,0,"Zelensky already thankful to america but still trump trys to dominate him and not letting him to speak, they are debating instead of finding solution to this",non-toxic,non-bullying
@ycolquii2123,2017-07-04T20:45:45Z,2017-07-04T20:45:45Z,0,Dick head,toxicity,bullying
@0Dionis0,2025-03-02T16:23:10Z,2025-03-02T16:23:10Z,2,"What is wrong with american people, that they voted for such idiots like Trump and J.D. Vance?","toxicity, threat",bullying
@MarcusMartin-s5g,2025-03-01T12:28:31Z,2025-03-01T12:28:31Z,0,player 061 in this is nightfoxx,non-toxic,non-bullying
@CARLOSGARCIA-rd4wu,2025-03-01T00:07:31Z,2025-03-01T00:07:31Z,1,Two bullies gang banging Zelensky ..... but he held his own.,toxicity,bullying
@jaden6685,2025-03-05T14:12:22Z,2025-03-05T14:12:22Z,3,Trump is an idiot,"toxicity, threat",bullying
@neilbangera588,2017-10-09T14:31:29Z,2017-10-09T14:31:29Z,0,What stupid he is talking....,"toxicity, threat",bullying
@d2e.gigiii,2017-04-23T01:01:58Z,2017-04-23T01:01:58Z,0,OHHH GOSH THIS IS INTENSE,non-toxic,non-bullying
@its_randhir,2025-03-04T17:37:53Z,2025-03-04T17:37:53Z,0,Trump 🤡,non-toxic,non-bullying
@ramsa3740,2025-02-28T19:25:45Z,2025-02-28T19:25:45Z,383,Disgusting  bullies. They even didn&#39;t  let him talk. What 2 morons!!,"toxicity, threat",bullying
@MAGurue,2025-03-02T12:33:36Z,2025-03-02T12:33:36Z,1,Disgraceful,non-toxic,non-bullying
@ElmerPacheco-y5n,2025-04-18T04:51:30Z,2025-04-18T04:51:30Z,0,INNOCENT BLACK&#39;S FALSELY ACCUSED OF CRIME&#39;S NEVER COMMITTED  SINCE THE 14TH  AND. SIXTEENTH CENTURY  IN AMERICA BY SAME SAME WHITE&#39;S  WHITE&#39; SURPRIMISTS EUROPEAN CHRISTIAN AMERICAN WHITE WERBACK IMMIGRANTS LIKE COLUMBUS AND ROBERT LEE&#39;S PERVERTED MOLESTEDS WHITE CHRISTIAN CONFEDERATE SOLDER&#39;S AND DONALD TRUMP&#39; AND KAVANUGH AND ELON MUSK AND REPUBLICANS WHO ARE MOSTLY WHITE&#39;S AND RACISTS RACISTS CHRISTIAN PERVERTED MOLESTED SWAMP REDNECKS TRUMP&#39;S RAPISTS SUPPORTERS KISSING LICKING WIPING TRUMP&#39;S WHITE&#39;S RED&#39;S ASS HOLE,"toxicity, insult, threat",bullying
@MirellaLamberti-v5g,2025-03-03T14:48:49Z,2025-03-03T14:48:49Z,1,"Ti adoro,😘😘😘😘",non-toxic,non-bullying
@rohannegi5916,2025-03-02T19:18:35Z,2025-03-02T19:18:35Z,0,"When a clown enters a palace, he dosen&#39;t become a king- The palace becomes the circus","toxicity, threat",bullying
@Dadoutdoors24,2025-03-01T01:31:44Z,2025-03-01T01:31:44Z,0,"&quot;shouting&quot; 😂 slightly raised voices at best, but I guess whatever gets clicks.",non-toxic,non-bullying
@sharelmiddleton7053,2025-03-03T07:51:49Z,2025-03-03T07:51:49Z,1,This war was set up all along before this clown left. Now everyone wants to end it after he gets back into office. I’m surprised that the real president wasn’t there. This is the most that Musk has allowed these two to speak. I pray for Ukraine and better days will come. That man warned Trump and he’s so stupid,"toxicity, threat",bullying
@IvanaRavenny,2017-06-18T23:32:14Z,2017-06-18T23:32:14Z,0,uma merda esse vídeo!,non-toxic,non-bullying
@marjorieburdetsky1359,2025-03-01T08:49:27Z,2025-03-01T08:49:27Z,131,"Embarrassing, horrible television. This is serious, not a card game. The world is in the hands of fools.","toxicity, threat",bullying
@christinachirwa8461,2025-03-01T20:01:11Z,2025-03-01T20:01:11Z,0,For America it&#39;s about deals,non-toxic,non-bullying
@luanx3943,2017-04-27T14:48:43Z,2017-04-27T14:49:55Z,0,I kind of wish that one of them had a gun... I really can&#39;t see the fun in this,"toxicity, sexual_explicit",bullying
@PhilippFN.,2024-04-15T04:58:43Z,2024-04-15T04:58:43Z,0,The Best video,non-toxic,non-bullying
@Baconmitspeck,2024-11-30T21:40:26Z,2024-11-30T21:40:26Z,0,Kann you speak german,non-toxic,non-bullying
@judtheymouse,2025-03-01T06:32:02Z,2025-03-01T06:32:02Z,0,Disgusting orange turd moron,"toxicity, threat",bullying
@almassengale,2025-03-01T16:08:09Z,2025-03-01T16:08:09Z,1,Vance is Putin&#39;s slimy little lapdog.,"toxicity, threat",bullying
@pablol1069,2024-02-10T03:17:07Z,2024-02-10T03:17:07Z,0,"If you blur the video I won&#39;t watch it, thumbs down",non-toxic,non-bullying
@JoseAbelMorgaAyllon,2025-03-19T02:44:26Z,2025-03-19T02:44:26Z,0,El video com mas vistas,non-toxic,non-bullying
@eunpark7717,2025-03-04T02:28:10Z,2025-03-05T14:15:30Z,0,"This is where USA stands in 2025. Rude, arrogant and disrespectful.","toxicity, threat",bullying
@Mohit-Bhai,2024-06-03T17:12:09Z,2024-06-03T17:12:09Z,1,Are bhai views toh dekho,non-toxic,non-bullying
@erdatumen36,2024-08-28T11:19:10Z,2024-08-28T11:19:10Z,0,"<a href=""https://www.youtube.com/watch?v=0e3GPea1Tyg&amp;t=3"">0:03</a> brawl staaaaars",non-toxic,non-bullying
@flappyflap2693,2025-03-05T05:00:37Z,2025-03-05T05:00:37Z,0,wow guys it&#39;s almost as if we impeached trump and biden for a reason,non-toxic,non-bullying
@NorbertValek,2025-03-01T01:26:32Z,2025-03-01T01:26:32Z,0,I completely agree with Trumps point of view however can we just listen to that god forbidden soul and what he has to say?!? Like just give him a chance please for christ sake. I actually wanted to hear what he has to say but nooooo cause Mr Trump just cant be asked to listen for 1 god damn minute.,"toxicity, identity_attack",bullying
@PhilipBowden-oz7mm,2025-03-10T11:30:49Z,2025-03-10T11:30:49Z,0,Eastern Europeans know all about bullies.,toxicity,bullying
@ptousa2991,2025-02-08T10:02:22Z,2025-02-08T10:02:22Z,1,シーズ2バージョンだして,non-toxic,non-bullying
@3KPK3,2025-03-01T06:10:44Z,2025-03-01T06:10:44Z,0,"Wow! It&#39;s really, really rare seeing a meeting like this become public though it&#39;s not surprising at all seeing Trump and his followers act like total trash which is nothing new. Hang in there somehow Ukraine.","toxicity, threat",bullying
@haileytherkildsen7811,2018-06-22T06:23:16Z,2018-06-22T06:23:16Z,0,That&#39;s so disrespectful 🤦,non-toxic,non-bullying
@weifeiprincess8923,2020-08-10T16:30:27Z,2020-08-10T16:30:27Z,8,I never ever liked Hrithik but in this video I’m with him. Kangna is opportunist,"toxicity, threat",bullying
@baloochandru,2020-08-15T14:56:34Z,2020-08-15T14:56:34Z,0,I really dont know.. how these celebrities all the time doing such terrible and worst things under the name of party !!!,non-toxic,non-bullying
@shaam1143,2024-07-31T07:07:40Z,2024-07-31T07:07:40Z,2,Anyone here in 2024 august 😂,non-toxic,non-bullying
@fetti043,2017-04-24T00:57:34Z,2017-04-24T00:57:34Z,0,there like a god damn pro,"toxicity, identity_attack",bullying
@TruthMatters1202,2025-03-01T08:05:11Z,2025-03-01T08:05:11Z,0,THIS  (DTRUMP)  IS A HORRIBLE MAN.,"toxicity, threat",bullying
@arushchoudhary1510,2024-03-05T10:26:14Z,2024-03-05T10:26:14Z,14,PACKGOD IS A LEGEND,non-toxic,non-bullying
@BrandieDogg,2025-02-28T19:04:31Z,2025-02-28T19:05:56Z,0,Vance and Trump are absolutely disgraceful. unbelievable. but they&#39;ve undeniably shown Ukraine&#39;s other allies around the world exactly who they are. Poor Zelensky having to treat these two like they are respectable individuals,toxicity,bullying
@Raykin225,2025-03-01T06:51:15Z,2025-03-01T06:51:15Z,0,Damn Trump likes to just hear his own voice 🙄,"toxicity, identity_attack, threat",bullying
@SquattingSlavTVOfficial,2025-03-02T02:20:27Z,2025-03-02T02:20:27Z,1,All an act,non-toxic,non-bullying
@caedynadams9897,2017-09-20T02:11:04Z,2017-09-20T02:11:04Z,0,You realize you can&#39;t just go around stealing people&#39;s stuff right people can call the cops you idiot,"toxicity, threat",bullying
@rash2281,2025-04-22T02:44:42Z,2025-04-22T02:44:42Z,0,"<a href=""https://www.youtube.com/watch?v=FE2In6NKRN4&amp;t=1300"">21:40</a> guy had to aura farm first lol",non-toxic,non-bullying
@pyrodrumniac5547,2025-03-01T15:18:52Z,2025-03-01T15:18:52Z,0,America. The home of the bullies.,"toxicity, threat",bullying
@MateoHernandez-q7e,2024-09-29T04:37:24Z,2024-09-29T04:37:24Z,1,ㅙㅣㅑ,non-toxic,non-bullying
@rashmidwivedi4043,2024-09-13T19:38:46Z,2024-09-13T19:38:46Z,1,That reverse vault by ludson Thomas was so clean. Bro wanted to do it in style,non-toxic,non-bullying
@Winter-cb6gh,2025-02-28T19:46:44Z,2025-02-28T19:46:44Z,0,What the hell.,toxicity,bullying
@christophhaas5140,2025-02-28T23:23:45Z,2025-02-28T23:23:45Z,0,"The behaviour of Mr. Trump is absolutely disgusting, an incredible but real horror trip. How long that nightmare will be going on?","toxicity, threat",bullying
@bjunior1988,2025-03-01T08:34:09Z,2025-03-01T08:34:09Z,1,"Well, this is the bullshit Americans voted for, so there is no sense in complaining now. Deal with it!!!!","toxicity, identity_attack, threat",bullying
@umutaktas9474,2024-10-25T05:51:33Z,2024-10-25T05:51:33Z,0,LA GALİBE İLLALLAH 🖕♥️🇹🇷🇯🇴,non-toxic,non-bullying
@priyathakur3867,2020-07-26T13:07:04Z,2020-07-26T13:07:04Z,1,Bloody looser Hakla Hritik,"toxicity, threat",bullying
@manuelrobles3436,2025-02-28T20:05:10Z,2025-02-28T20:05:10Z,0,What a clown of our President,"toxicity, threat",bullying
@DanielleScarpitta,2025-01-22T01:37:11Z,2025-01-22T01:37:11Z,1,I play brawl stars,non-toxic,non-bullying
@US30MVP,2025-03-01T10:17:28Z,2025-03-01T10:17:28Z,1,"Clownshow, wish this Ukraine stuff never happened.","toxicity, threat",bullying
@ianshearer6979,2024-02-15T06:08:49Z,2024-02-15T06:08:49Z,0,"shit London Thomas got some air coming over that wall, man was on a MISSION","toxicity, identity_attack",bullying
@masatu717,2025-03-03T20:00:58Z,2025-03-03T20:00:58Z,0,The United States of Retards 🇺🇲,"toxicity, threat",bullying
@gymnast_kristina1869,2018-02-18T00:55:01Z,2018-02-18T00:55:01Z,0,Did u give the stuff back,non-toxic,non-bullying
@oliversw0rld433,2018-09-29T18:24:57Z,2018-09-29T18:24:57Z,0,"You guys are actually bullies, Your tying their shoes together and are stealing their stuff. That is actually disgusting! And I don’t know why this has so many likes. You guys don’t deserve all the subscribers, likes and attention you’re getting.","toxicity, threat",bullying
@joshuagibbs2415,2025-02-28T20:29:31Z,2025-02-28T20:29:31Z,1,Na trump and vance are completely correct. Hand over the minerals then rebuild your country ya muppet. He dont care about his people getting blown to bits.,"toxicity, threat",bullying
@Avnishfillmyduniya,2025-06-01T15:23:52Z,2025-06-01T15:23:52Z,1,Bhai mere ko 10 Million dollar chahiye,non-toxic,non-bullying
@richardcondon3797,2025-03-03T19:14:40Z,2025-03-03T19:14:40Z,0,Now Fatboy whines as Zelensky says the war will go on for years.  Like a fat brat Trump is rabid and wants an Ukraine surrender.  That ain&#39;t gonna happen el fatwa.  Trump failed to mention to all his voters his plan was to surrender to Putin and commit treason ending democracy here.,"toxicity, threat",bullying
@MichaelEssex,2025-03-04T22:37:03Z,2025-03-04T22:37:03Z,0,Y’all are a bunch of morons,"toxicity, threat",bullying
@RamblesBrambles,2025-02-28T19:26:57Z,2025-02-28T19:26:57Z,0,Please god help us all,non-toxic,non-bullying
@pupu416,2025-02-28T22:51:28Z,2025-02-28T22:51:28Z,5,Bullying the president of war-torn country is a new low (again). And those laughs and smiles after saying ”just fight it out”. The absolute EASE that they speak like pigs sends chills down my spine.,"toxicity, threat",bullying
@edawge-zeloy1755,2025-03-02T04:17:24Z,2025-03-02T04:17:24Z,2,"Zelenski has the attitude because dumbass Obama and Biden gifted that to him , gave him more praise and respect than he deserved , this war only lasted this long because Obama and Biden funded it with tax payer money …","toxicity, threat",bullying
@crowntime3700,2025-03-02T05:32:00Z,2025-03-02T05:32:00Z,0,"What is happening to Trump? What did Putin offer him? He seems to be such a friend of the dictator Putin and such an enemy of Ukraine? Now all the blame falls on Ukraine for Russia invading it. Trump has two faces, an ambitious man who is hard to believe. What this man wants is to go down in history as a pacifist and he does not care about the number of civilians that Putin has killed in Ukraine, not counting those opposed to him in Russia itself.",non-toxic,non-bullying
@eone199,2025-03-01T07:13:20Z,2025-03-01T07:13:20Z,0,"zelensky is humilating himself for real<br>he obviously didn&#39;t act like a president on that meeting<br>how should I say about this? <br>ZELENSKY IS A GODDAMN ARROGANT BEGGAR WHO DOES NOT KNOW HIS POSITION AT ALL<br>HE REALLY HAD A THOUGHT HE IS THE CENTER OF THE EUROPE","toxicity, threat",bullying
@SHAAAaaaOLiiiiN,2025-03-06T13:06:25Z,2025-03-06T13:07:10Z,1,"<a href=""https://www.youtube.com/watch?v=v_kTNIYsFnQ&amp;t=46"">0:46</a> - dude clearly says &quot;c*<b>a bl**t</b> haha and in Russian language, haha. Zelensky is mad.",toxicity,bullying
@jenkintzle4721,2025-03-01T02:19:30Z,2025-03-01T02:19:30Z,0,They are such an embarrassment!,"toxicity, threat",bullying
@許閔翔-i5r,2024-09-04T22:00:04Z,2024-09-04T22:00:04Z,0,早安  希望 韓國女明星(秀智) 和 (潤娥) 可以嫁個好男人 一輩子幸福+351（每天情人節快樂）,non-toxic,non-bullying
@HectorDarhanbat,2025-03-01T06:36:55Z,2025-03-01T06:36:55Z,0,Bullshit trump disrespectful 44 million Ukrainain people. Ukrainain warriors never fell Russian invaders. Fck off amercia,"toxicity, identity_attack, threat",bullying
@cvrkure9083,2025-03-01T11:16:32Z,2025-03-01T11:16:32Z,4,"Zelensky is idiot, and your understanding of politics is seen in these comments 🤡","toxicity, threat",bullying
@nevinnarraidu8608,2025-03-03T20:48:54Z,2025-03-03T20:48:54Z,0,How does anyone admire a country who&#39; voted for this freakshow,"toxicity, threat",bullying
@tristanblaze5366,2017-05-09T02:34:59Z,2017-05-09T02:34:59Z,0,I don&#39;t know how to tie my shoes so jokes on you,non-toxic,non-bullying
@mitrovita9523,2025-02-28T22:52:10Z,2025-02-28T22:52:10Z,2,America is a country full of morons,"toxicity, threat",bullying
@GursewakSingh-ef4iv,2019-10-07T12:41:18Z,2019-10-07T12:41:18Z,0,godi media modi nu eda e swal kre,non-toxic,non-bullying
@mansikamble8238,2020-07-28T14:52:41Z,2020-07-28T14:52:41Z,16,Oh my god what crap is he talking ....can he not hear what he is speaking...,"toxicity, identity_attack, threat",bullying
@wesleydraves1281,2025-03-01T03:39:36Z,2025-03-01T03:45:19Z,1,This is childish Zelenskyy was being as patient and respectful as possible and they just keep being loud bumbling morons going “look at me I have a 2.0 GPA and I don’t like people not paying attention to me because it’s the Super Bowl so I’m gonna make it gulf of America day. Oh and guess what I’m making it cost 7 million dollars to become a us citizen oh and by the way Dr. Phil is deporting immigrants now!”<br>I’m bipartisan but now I’m bawling for gods sakes I don’t want a president with the same level of intellect as a 6th grader with all F’s even in home room,"toxicity, threat",bullying
@RheaSelfides,2025-03-16T10:39:02Z,2025-03-16T10:39:02Z,0,I love you 💖💖💖💖💖💖💖💖💖💖💖💖💖,non-toxic,non-bullying
@rushiraul4084,2025-03-01T05:38:22Z,2025-03-01T05:38:22Z,0,Trump is not even a human.,"toxicity, threat",bullying
@shomitam,2025-03-02T03:41:34Z,2025-03-02T03:41:34Z,0,Trump and Vance are so CRUDE,"toxicity, threat",bullying
@Nero-gq2ih,2025-03-05T09:39:23Z,2025-03-05T23:27:50Z,216,“What if a bomb drops on your head right now” killed me 😂,"toxicity, sexual_explicit",bullying
@RSWAG777,2024-10-27T19:46:23Z,2024-10-27T19:46:23Z,4,Brawl stars,non-toxic,non-bullying
@michaelhendrix9649,2025-02-28T23:45:44Z,2025-02-28T23:45:44Z,1,Trump and Vance are bullying morons. There is no doubt about that,"toxicity, threat",bullying
@許閔翔-i5r,2024-10-10T04:01:09Z,2024-10-10T04:01:09Z,0,午安  希望 韓國女明星(秀智) 和 (潤娥) 可以嫁個好男人 一輩子幸福+386（每天情人節快樂）,non-toxic,non-bullying
@digitaltechbengle00,2024-03-17T16:43:31Z,2024-03-17T16:43:31Z,0,Mytpat,non-toxic,non-bullying
@Yghd7463jf,2025-03-01T18:42:59Z,2025-03-01T18:42:59Z,0,"The way these american clown politicians are talking is like mobsters. Zelensky should come out and say in the oval office most money went straight to american companies first. Not directly to Ukraine as general public believes. JD yankee pointing his fingers trying to talk down on a man who doesnt want to sign away future generations for economic ties to the american empire which has a history of creating problems across the globe, waiting for reactions and having a solution that enslaves foreign countries. Zelensky should release all recordings of all meetings to let everyone know exactly how those “peace” talks go.","toxicity, threat",bullying
@nateblance2936,2025-02-28T20:18:38Z,2025-02-28T20:18:38Z,0,Why can&#39;t he do this to bibi?,non-toxic,non-bullying
@melissabrierley103,2024-11-14T20:40:52Z,2024-11-14T20:40:52Z,0,All clips of the killers and they are just weak cowards who can&#39;t handle an angry family,"toxicity, threat",bullying
@christoferandrew1457,2017-06-02T15:09:13Z,2017-06-02T15:09:13Z,0,this channel is about to teaching thevies,non-toxic,non-bullying
@edgarborges6149,2025-03-01T06:47:03Z,2025-03-01T06:47:03Z,0,"What a president making fool of his own country infront of other country president, saying things done by his own contry ex President","toxicity, threat",bullying
@vanessacharlton3437,2024-02-02T03:50:13Z,2024-02-02T03:50:13Z,0,I dont blame that father lashing out to the clown that killed his daughter and smiling at the dad oh brooo!,"toxicity, threat",bullying
@stephg4273,2025-03-01T05:05:30Z,2025-03-01T05:05:30Z,1,Trump is an embarrassment.,"toxicity, threat",bullying
@truthwins5379,2020-06-23T22:35:40Z,2020-06-23T22:35:40Z,0,He is a liar no doubt..and he played mental games with Kangana...  friends in Bollywood told me that he did dated.kangana...,"toxicity, threat",bullying
@doloresabdilla302,2025-03-01T03:42:15Z,2025-03-01T03:42:15Z,0,UNSCRUPULOUS   TRUMP AND HIS FARKING criminals all PUTIN PUPPETS,"toxicity, threat",bullying
